id,complaint_text,category,location,source
138,Dustbin is full and overflowing,Sanitation,Library,synthetic
139,There is a bad smell in the hostel corridor,Sanitation,Hostel corridor,synthetic
140,Canteen area has not been cleaned,Sanitation,Canteen,synthetic
141,Garbage collection is delayed near Block B,Sanitation,Block B,synthetic
142,The washroom is dirty and needs attention,Sanitation,Ground-floor washroom,synthetic
143,Waste is scattered near the parking area,Sanitation,Parking area,synthetic
144,Corridor floor is very dirty,Sanitation,Second-floor corridor,synthetic
145,Please clean the wash basin area,Sanitation,Staff washroom,synthetic
146,The dustbin outside the lab is overflowing,Sanitation,Laboratory,synthetic
147,Washroom smells bad since morning,Sanitation,Library washroom,synthetic
148,Garbage is not being removed from the hostel,Sanitation,Girls Hostel,synthetic
149,The common room needs cleaning,Sanitation,Student common room,synthetic
150,Sanitation problem near the main building,Sanitation,Main building,synthetic
151,A desk drawer is stuck and cannot be opened,Furniture,Library,synthetic
152,The classroom chair is broken and needs repair,Furniture,Room 201,synthetic
153,A wooden table leg is damaged,Furniture,Seminar Hall,synthetic
154,The cupboard door is not closing properly,Furniture,Office Block,synthetic
155,Several desks have damaged drawers,Furniture,Computer Lab,synthetic
156,A power cable is exposed near the staircase,Electrical,Main Block,synthetic
157,There is a loose electrical wire in the classroom,Electrical,Room 102,synthetic
158,The electrical switch is sparking,Electrical,Laboratory,synthetic
159,A damaged wire is hanging from the ceiling,Electrical,Academic Block,synthetic
160,The classroom power socket is not working,Electrical,Room 204,synthetic
161,The washbasin tap is broken,Plumbing,Washroom,synthetic
162,Water is leaking from the bathroom tap,Plumbing,Hostel Block,synthetic
163,The toilet flush is not functioning,Plumbing,Hostel Washroom,synthetic
164,The sink tap needs to be replaced,Plumbing,Canteen,synthetic
165,Water is leaking from a pipe near the washroom,Plumbing,Main Block,synthetic
166,Rainwater is entering through the damaged roof,Civil,Main Block,synthetic
167,The classroom ceiling has visible cracks,Civil,Room 305,synthetic
168,There is a crack in the corridor wall,Civil,Academic Block,synthetic
169,Tiles on the corridor floor are broken,Civil,Main Block,synthetic
170,The roof has damaged concrete and needs repair,Civil,Library Block,synthetic
171,The dustbin near the hostel is overflowing,Sanitation,Hostel Block,synthetic
172,Garbage has accumulated near the laboratory,Sanitation,Science Block,synthetic
173,The waste bin in the corridor is full,Sanitation,Academic Block,synthetic
174,Trash has not been collected from the hostel area,Sanitation,Hostel Block,synthetic
175,The garbage bins outside the classroom are overflowing,Sanitation,Academic Block,synthetic
176,The Wi-Fi connection is not working in the classroom,Networking,Room 101,synthetic
177,There is no internet connection in the computer lab,Networking,Computer Lab,synthetic
178,The network cable is damaged near the server room,Networking,Server Room,synthetic
179,Campus Wi-Fi is very slow in the library,Networking,Library,synthetic
180,The network port is not working in the office,Networking,Office Block,synthetic
